"","Journal","IsDafnee"
"1","Acarologia","ok"
"2","Acta Adriatica","ok"
"3","Acta Amazonica","ok"
"4","Acta Archaeologica","no"
"5","Acta Botanica Brasilica","ok"
"6","Acta Botanica Gallica","ok"
"7","Acta Chiropterologica","ok"
"8","Acta Ethologica","no"
"9","Acta Herpetologica","ok"
"10","Acta Oecologica","no"
"11","Acta Ornithologica","ok"
"12","Acta Palaeobotanica","ok"
"13","Acta Palaeontologica Polonica","ok"
"14","Acta Parasitologica","ok"
"15","Acta Tropica","no"
"16","Adansonia","ok"
"17","ADLFI. Archeologie de la France - Informations","ok"
"18","Advances in Archaeological Practice","ok"
"19","Advances in Ecological Research","no"
"20","Advances in Parasitology","no"
"21","Aeolian Research","ok"
"22","African Archaeological Review","no"
"23","African Entomology","ok"
"24","African Invertebrates","ok"
"25","African Journal of Aquatic Science","ok"
"26","African Journal of Ecology","ok"
"27","African Journal of Range & Forage Science","ok"
"28","African Journal of Wildlife Research","ok"
"29","African Zoology","ok"
"30","Agriculture","no"
"31","Agriculture and Human Values","ok"
"32","Agriculture and Natural Resources","ok"
"33","Agronomy","no"
"34","Agronomy for Sustainable Development","ok"
"35","Agypten und Levante","ok"
"36","Alcheringa","ok"
"37","Algorithmica","no"
"38","Algorithms for Molecular Biology","no"
"39","Alpine and Mediterranean Quaternary","ok"
"40","Alpine Botany","ok"
"41","Alpine Entomology","ok"
"42","Alzheimer's & Dementia","ok"
"43","Ambio","ok"
"44","Ameghiniana","ok"
"45","American Antiquity","ok"
"46","American Fern Journal","ok"
"47","American Historical Review","ok"
"48","American Journal of Archaeology","ok"
"49","American Journal of Biological Anthropology","ok"
"50","American Journal of Botany","ok"
"51","American Journal of Human Biology","ok"
"52","American Journal of Physical Anthropology","ok"
"53","American Journal of Primatology","ok"
"54","American Journal of Tropical Medicine and Hygiene","ok"
"55","American Malacological Bulletin","ok"
"56","American Museum Novitates","ok"
"57","American Naturalist","ok"
"58","Amphibia-Reptilia","ok"
"59","Anais da Academia Brasileira de Ciencias","ok"
"60","Anatolian Studies","ok"
"61","Anatolica","ok"
"62","Anatomical Record","ok"
"63","Ancient Near Eastern Studies","no"
"64","Ancient Society","ok"
"65","Andean Geology","ok"
"66","Animal","ok"
"67","Animal Behaviour","ok"
"68","Animal Biodiversity and Conservation","ok"
"69","Animal Cognition","no"
"70","Animal Conservation","ok"
"71","Animal Microbiome","no"
"72","Animals","no"
"73","Annales Botanici Fennici","ok"
"74","Annales de la Societe Entomologique de France","ok"
"75","Annales de Paleontologie","no"
"76","Annales Zoologici","ok"
"77","Annales Zoologici Fennici","ok"
"78","Annals of Anatomy - Anatomischer Anzeiger","ok"
"79","Annals of Botany","ok"
"80","Annals of Forest Science","ok"
"81","Annals of the Entomological Society of America","ok"
"82","Annals of the New York Academy of Sciences","ok"
"83","Annual of the British School at Athens","ok"
"84","Annual Review of Animal Biosciences","ok"
"85","Annual Review of Ecology Evolution and Systematics","ok"
"86","Annual Review of Entomology","ok"
"87","Annual Review of Genetics","ok"
"88","Annual Review of Genomics and Human Genetics","ok"
"89","Annual Review of Marine Science","ok"
"90","Antarctic Science","no"
"91","Anthropocene","no"
"92","Anthropologica et Praehistorica","ok"
"93","Anthropologie","no"
"94","Anthropologischer Anzeiger","no"
"95","Anthropozoologica","ok"
"96","Antibiotics","no"
"97","Antimicrobial Agents and Chemotherapy","ok"
"98","Antipoda. Revista de Antropologia y Arqueologia","ok"
"99","Antiquity","ok"
"100","AOB Plants","ok"
"101","Applications in Plant Sciences","ok"
"102","Applied Animal Behaviour Science","no"
"103","Applied Biochemistry and Biotechnology","no"
"104","Applied Soil Ecology","no"
"105","Applied Vegetation Science","ok"
"106","Aquaculture","no"
"107","Aquaculture Environment Interactions","no"
"108","Aquaculture International","ok"
"109","Aquaculture Nutrition","ok"
"110","Aquaculture Reports","no"
"111","Aquaculture Research","no"
"112","Aquatic Botany","no"
"113","Aquatic Conservation: Marine and Freshwater Ecosystems","no"
"114","Aquatic Ecology","no"
"115","Aquatic Ecosystem Health & Management","ok"
"116","Aquatic Living Resources","ok"
"117","Aquatic Toxicology","no"
"118","Arabian Archaeology and Epigraphy","no"
"119","Arachnology","ok"
"120","Archaeofauna","ok"
"121","Archaeological and Anthropological Sciences","no"
"122","Archaeological Dialogues","no"
"123","Archaeological Prospections","no"
"124","Archaeological Research in Asia","no"
"125","Archaeology Ethnology and Anthropology of Eurasia","ok"
"126","Archaeology in Oceania","no"
"127","Archaeometry","ok"
"128","Archaologische Informationen","ok"
"129","Archeologia e Calcolatori","ok"
"130","Archeological Journal","ok"
"131","Archeologicke Rozhledy","ok"
"132","Archéologie","no"
"133","Archeopages","ok"
"134","ArcheoScience - Revue d'archeometrie","ok"
"135","Architectural Histories","ok"
"136","Archives of Oral Biology","no"
"137","Archives of Sexual Behavior","ok"
"138","Archivo Espanol de Arqueologia","ok"
"139","Ardea","ok"
"140","Ardeola","ok"
"141","Arqueologia","ok"
"142","Arthropod Systematics and Phylogeny","ok"
"143","Arxius de Miscel-Lania Zoologica","ok"
"144","arxiv","no"
"145","Asian Bioethics Review","no"
"146","Asian Journal of Soil Science and Plant Nutrition","no"
"147","Asian Pacific Journal of Tropical Disease","no"
"148","Asian Pacific Journal of Tropical Medicine","ok"
"149","Asian Perspectives","ok"
"150","Asymptotic Analysis","no"
"151","Austral Ecology","ok"
"152","Australian Archaeology","ok"
"153","Australian Journal of Zoology","ok"
"154","Australian Systematic Botany","ok"
"155","Autophagy","no"
"156","Azania: Archaeological Research in Africa ","no"
"157","Bangladesh Journal of Zoology","ok"
"158","Basic and Applied Ecology","ok"
"159","Basin Research","ok"
"160","BEADS: Journal of the Society of Bead Researchers","ok"
"161","Bee World","ok"
"162","Behavioral and Brain Sciences","no"
"163","Behavioral Ecology","ok"
"164","Behavioral Ecology and Sociobiology","no"
"165","Behavior Genetics","ok"
"166","Behaviour","no"
"167","Belgian Journal of Zoology","ok"
"168","Bioarchaeology International","no"
"169","bioarxiv","no"
"170","Biodiversity and Conservation","no"
"171","Biodiversity Data Journal","no"
"172","Biodiversity Information Science and Standards","ok"
"173","BioEssays","no"
"174","Biofutur","no"
"175","Biogeographia","ok"
"176","Biogeosciences","ok"
"177","Bioinformatics","ok"
"178","Bioinformatics Advances","ok"
"179","Biological Conservation","no"
"180","Biological Invasions","no"
"181","Biological Journal of the Linnean Society","ok"
"182","Biological Reviews","ok"
"183","Biologie Aujourd'hui","no"
"184","Biology","no"
"185","Biology and Fertility of Soils","no"
"186","Biology and Philosophy","no"
"187","Biology Letters","ok"
"188","Biology Methods and Protocols","no"
"189","Biology Open","ok"
"190","BioMed Research International","no"
"191","Biometrics","ok"
"192","Biomolecular Detection and Quantification","no"
"193","Bioscience","ok"
"194","Biosystema","ok"
"195","Biota Neotropica","ok"
"196","Biotropica","ok"
"197","Bird Conservation International","ok"
"198","Bird Study","ok"
"199","Blood","ok"
"200","BMC Bioinformatics","no"
"201","BMC Biology","no"
"202","BMC Ecology","no"
"203","BMC Ecology and Evolution","no"
"204","BMC Evolutionary Biology","no"
"205","BMC Genetics","no"
"206","BMC Genomic Data","no"
"207","BMC Genomics","no"
"208","BMC Infectious Diseases","no"
"209","BMC Microbiology","no"
"210","BMC Plant Biology","no"
"211","BMC Research Notes","no"
"212","BMC Zoology","no"
"213","BMJ Global Health","no"
"214","Bois et Forets des Tropiques","ok"
"215","Boletim da Sociedade Brasileira de Mastozoologia","ok"
"216","Boletin del Museo Chileno de Arte Precolombino","ok"
"217","Bone","no"
"218","Boreas","ok"
"219","Botanical Journal of the Linnean Society","ok"
"220","Botanical Review","ok"
"221","Botanica Serbica","ok"
"222","Botany","ok"
"223","Botany Letters","ok"
"224","Briefings in Bioinformatics","no"
"225","British Journal of Dermatology","ok"
"226","British Journal of Psychology","ok"
"227","Bryologist","ok"
"228","Bulletin d’Archeologie Marocaine","ok"
"229","Bulletin de la societe archeologique Champenoise","ok"
"230","Bulletin de la Societe Entomologique de France","ok"
"231","Bulletin de la Societe Geologique de France","ok"
"232","Bulletin de la Societe Herpetologique de France","ok"
"233","Bulletin de la Societe Prehistorique Francaise","ok"
"234","Bulletin de la Societe scientifique historique et archeologique de la Correze","no"
"235","Bulletin de la Societe Zoologique de France","ok"
"236","Bulletin du Musee d'Anthropologie prehistorique de Monaco","ok"
"237","Bulletin of ASOR","ok"
"238","Bulletin of Entomological Research","no"
"239","Bulletin of Geosciences","ok"
"240","Bulletin of Marine Science","ok"
"241","Bulletin of Mathematical Biology","ok"
"242","Bulletin of the American Museum of Natural History","ok"
"243","Bulletin of the Ecological Society of America","ok"
"244","Bulletin of the European Association of Fish Pathologists","ok"
"245","Bulletin of Zoological Nomenclature","ok"
"246","Bulletins et memoires de la Societe d’Anthropologie de Paris","ok"
"247","CABI Agriculture and Bioscience","no"
"248","California Archaeology","ok"
"249","Cambridge Archaeological Journal","ok"
"250","Canadian Entomologist","ok"
"251","Canadian Journal of Fisheries and Aquatic Sciences","no"
"252","Canadian Journal of Forest Research","ok"
"253","Canadian Journal of Linguistics","ok"
"254","Canadian Journal of Zoology","ok"
"255","Cancer Prevention Research","ok"
"256","Cavernes","ok"
"257","Cell","no"
"258","Cell and Tissue Research","no"
"259","Cell Death and Differentiation","no"
"260","Check List","no"
"261","Chelonian Conservation and Biology","ok"
"262","Chemical Geology","no"
"263","Chromosoma","no"
"264","Chromosome Research","no"
"265","Cladistics","ok"
"266","Climate Dynamics","no"
"267","Climate of the Past","ok"
"268","Climate Research","no"
"269","Climatic Change","no"
"270","Clinical Microbiology and Infection","ok"
"271","Coastal Management","ok"
"272","Cold Spring Harbor Perspectives in Biology","ok"
"273","Coleopterists Bulletin","ok"
"274","Comechingonia Revista de Arqueologia","no"
"275","Communications Biology","no"
"276","Communications Earth and Environment","no"
"277","Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology","ok"
"278","Comparative Parasitology","ok"
"279","Complutum","ok"
"280","Comptes Rendus Biologies","ok"
"281","Comptes Rendus Geoscience","ok"
"282","Comptes Rendus Mathematiques","ok"
"283","Comptes Rendus Palevol","ok"
"284","Computational and Structural Biotechnology Journal","no"
"285","Computational Statistics","no"
"286","Conflict and Health","no"
"287","Conservation and Management of Archaeological Sites","no"
"288","Conservation Biology","ok"
"289","Conservation Genetics","no"
"290","Conservation Genetics Resources","no"
"291","Conservation Letters","ok"
"292","Conservation Physiology","ok"
"293","Conservation Science and Practice","ok"
"294","Conservation & Society","ok"
"295","Contributions to Zoology","ok"
"296","Coral Reefs","ok"
"297","Cretaceous Research","no"
"298","Crustaceana","no"
"299","Cryptogamie Algologie","ok"
"300","Cryptogamie Bryologie","ok"
"301","Cryptogamie Mycologie","ok"
"302","Current Anthropology","ok"
"303","Current Biology","no"
"304","Current Herpetology","ok"
"305","Current Issues in Molecular Biology","no"
"306","Current Opinion in Insect Science","no"
"307","Current Opinion in Microbiology","no"
"308","Current Swedish Archaeology","ok"
"309","Current Zoology","ok"
"310","Cybium","ok"
"311","Cytogenetic and Genome Research","no"
"312","Dendrochronologia","no"
"313","Developmental and Comparative Immunology","no"
"314","Developmental Biology","ok"
"315","Developmental Dynamics: An Official Publication of the American Association of Anatomists","ok"
"316","Development Genes and Evolution","no"
"317","Digital Applications in Archaeology and Cultural Heritage","no"
"318","Diplomatie","no"
"319","Diversity","no"
"320","Diversity and Distributions","no"
"321","DNA Barcodes","no"
"322","Documenta Praehistorica","ok"
"323","Documents d Archeologie Meridionale","no"
"324","Dugesiana","ok"
"325","Dynamiques Environnementales","no"
"326","Earth and Planetary Science Letters","no"
"327","Earth-Science Reviews","no"
"328","Earths Future","no"
"329","Earth System Science Data","no"
"330","Ecography","ok"
"331","Ecohealth","ok"
"332","Ecologia Mediterranea","ok"
"333","Ecological Applications","ok"
"334","Ecological Complexity","no"
"335","Ecological Engineering","no"
"336","Ecological Entomology","ok"
"337","Ecological Indicators","no"
"338","Ecological Informatics","no"
"339","Ecological Modelling","no"
"340","Ecological Monographs","ok"
"341","Ecological Research","ok"
"342","Ecological Solutions & Evidence","ok"
"343","Ecology","ok"
"344","Ecology and Evolution","no"
"345","Ecology and Society","ok"
"346","Ecology Letters","ok"
"347","Ecology of Freshwater Fish","no"
"348","Ecoscience","ok"
"349","Ecosistemas","ok"
"350","Ecosphere","ok"
"351","Ecosystems","no"
"352","Ecotoxicology and Environmental Safety","no"
"353","Elementa","ok"
"354","eLife","ok"
"355","EMBO Reports","ok"
"356","Emerging Infectious Diseases","ok"
"357","Endangered Species Research","no"
"358","Entomologia Experimentalis et Applicata","ok"
"359","Entomologia generalis","no"
"360","Environmental and Experimental Botany","no"
"361","Environmental Archaeology","ok"
"362","Environmental Biology of Fishes","no"
"363","Environmental Conservation","no"
"364","Environmental DNA","no"
"365","Environmental Entomology","ok"
"366","Environmental Epigenetics","no"
"367","Environmental Evidence","no"
"368","Environmental Microbiology","no"
"369","Environmental Microbiology Reports","no"
"370","Environmental Modelling & Software","no"
"371","Environmental Research Letters","no"
"372","Environmental Reviews","no"
"373","Environmental Science and Pollution Research","ok"
"374","Environmental Science and Technology","no"
"375","Environmental Toxicology and Chemistry","ok"
"376","Environment International","no"
"377","EOS","ok"
"378","Epidemiology and Infection","no"
"379","Epigenomes","no"
"380","Especes","ok"
"381","Estonian Journal of Archaeology","ok"
"382","Estuarine Coastal and Shelf Science","ok"
"383","Estudos do Quaternario","ok"
"384","Ethics in Science and Environmental Politics","ok"
"385","Ethnoarchaeology","no"
"386","Ethnos","no"
"387","Ethology","no"
"388","Euphytica","no"
"389","European Archives of Paediatric Dentistry","ok"
"390","European Journal of Archaeology","ok"
"391","European Journal of Clinical Microbiology & Infectious Diseases","no"
"392","European Journal of Entomology","ok"
"393","European Journal of Human Genetics","ok"
"394","European Journal of Phycology","ok"
"395","European Journal of Soil Science","ok"
"396","European Journal of Taxonomy","ok"
"397","European Journal of Wildlife Research","no"
"398","European Scientific Journal","no"
"399","European Zoological Journal","ok"
"400","Eurosurveillance","ok"
"401","Eventum - A journal of Medieval Arts and Rituals","ok"
"402","EvoDevo","no"
"403","Evolution","ok"
"404","Evolution and Human Behavior","ok"
"405","Evolutionary Anthropology","no"
"406","Evolutionary Applications","no"
"407","Evolutionary Bioinformatics Online","no"
"408","Evolutionary Biology","no"
"409","Evolutionary Ecology","no"
"410","Evolutionary Human Sciences","ok"
"411","Evolutionary Journal of the Linnean Society","ok"
"412","Evolutionary Psychology","no"
"413","Evolutionary Systematics","ok"
"414","Evolution & Development","no"
"415","Evolution: Education and Outreach","no"
"416","Evolution Letters","ok"
"417","Evolution Medicine and Public Health","ok"
"418","EXARC Journal","ok"
"419","Experimental and Applied Acarology","no"
"420","EXPOSITIONES MATHEMATICAE","no"
"421","F1000 Research","no"
"422","FAO Aquaculture Newsletter","ok"
"423","FEMS Microbiology Ecology","ok"
"424","Fire","no"
"425","Fish and Fisheries","no"
"426","Fish and Shellfish Immunology","ok"
"427","Fisheries Research","no"
"428","Fishes","no"
"429","Flora Mediterranea","ok"
"430","Folia Amazonica","ok"
"431","Folia Conchyliologica","no"
"432","Folia Parasitologica","ok"
"433","Folia Primatologica","ok"
"434","Folia Zoologica","ok"
"435","Food & History","ok"
"436","Food Security","ok"
"437","Food Webs","no"
"438","Forensic Science International","no"
"439","Forest Ecology and Management","no"
"440","Forest Policy and Economics","no"
"441","Forests","no"
"442","Forktail","ok"
"443","Fossil Record","ok"
"444","Fottea","ok"
"445","Fragmenta Entomologica","ok"
"446","Freshwater Biology","no"
"447","Freshwater Science","ok"
"448","Frontiers in Cell and Developmental Biology","no"
"449","Frontiers in Cellular and Infection Microbiology","no"
"450","Frontiers in Earth Science","no"
"451","Frontiers in Ecology and Evolution","no"
"452","Frontiers in Ecology and the Environment","ok"
"453","Frontiers in Endocrinology","no"
"454","Frontiers in Forests and Global Change","no"
"455","Frontiers in Fungal Biology","no"
"456","Frontiers in Genetics","no"
"457","Frontiers in Marine Science","no"
"458","Frontiers in Microbiology","no"
"459","Frontiers in Pharmacology","no"
"460","Frontiers in Plant Science","no"
"461","Frontiers in Psychology","no"
"462","Frontiers in Public Health","no"
"463","Frontiers in Reproductive Health","no"
"464","Frontiers in Veterinary Science","no"
"465","Frontiers in Zoology","no"
"466","Frontiers of Biogeography","ok"
"467","Fuel","no"
"468","Functional Ecology","ok"
"469","Fungal Biology","ok"
"470","Fungal Biology Reviews","ok"
"471","Fungal Diversity","ok"
"472","Fungal Ecology","ok"
"473","G3 - Genes Genomes Genetics","ok"
"474","Gallia","ok"
"475","Gallia Prehistoire","ok"
"476","Gayana","ok"
"477","Gene","no"
"478","General and Comparative Endocrinology","no"
"479","Genes","no"
"480","Genetica","no"
"481","Genetics","ok"
"482","Genetics Research","no"
"483","Genome Announcements","ok"
"484","Genome Biology","no"
"485","Genome Biology and Evolution","ok"
"486","Genome Research","ok"
"487","Geoarchaeology","no"
"488","Geobiology","no"
"489","Geobios","no"
"490","Geochemical Perspectives","ok"
"491","Geochemical Perspectives Letters","ok"
"492","Geoconservation Research","no"
"493","Geoderma","no"
"494","Geodiversitas","ok"
"495","Geographical Journal","no"
"496","GeoHealth","ok"
"497","Geologica Acta","ok"
"498","Geological Magazine","no"
"499","Geologues","ok"
"500","Geology","ok"
"501","Geology Ecology and Landscapes","ok"
"502","Geomorphology","no"
"503","Geophysical Research Letters","ok"
"504","Geoscience Frontiers","ok"
"505","Geoscientific Model Development","ok"
"506","Geosphere","ok"
"507","Gigascience","no"
"508","Global and Planetary Change","no"
"509","Global Change Biology","no"
"510","Global Ecology and Biogeography","no"
"511","Global Ecology and Conservation","no"
"512","Gondwana Research","no"
"513","Grana","ok"
"514","GSA Bulletin","ok"
"515","Gynecologie Obstetrique Fertilite & Senologie","ok"
"516","Helminthologia","ok"
"517","Heredity","ok"
"518","Heritage","no"
"519","Heritage Science","no"
"520","Herpetologica","ok"
"521","Herpetozoa","ok"
"522","Hesperia","ok"
"523","Historical Archaeology","ok"
"524","Historical Biology","no"
"525","Historic Environment: Policy and Practice","no"
"526","History and Philosophy of the Life Sciences","no"
"527","HOMO - Journal of Comparative Human Biology","no"
"528","Hormones and Behavior","ok"
"529","Horticulture Research","no"
"530","Human Biology","ok"
"531","Human Ecology","no"
"532","Human Molecular Genetics","no"
"533","Human-Wildlife Interactions","ok"
"534","Hydrobiologia","no"
"535","Hystrix","ok"
"536","IAWA Journal","no"
"537","Ibis","ok"
"538","ICES Journal of Marine Science","ok"
"539","Ichthyology & Herpetology","ok"
"540","Ideas in Ecology and Evolution","ok"
"541","IEEE/ACM Transactions on Computational Biology and Bioinformatics","ok"
"542","IMA Fungus","ok"
"543","Immunological Reviews","no"
"544","Industrial Archaeology Review","ok"
"545","Infection Genetics and Evolution","no"
"546","Inland Waters","no"
"547","Insect Conservation & Diversity","ok"
"548","Insectes Sociaux","ok"
"549","Insect Molecular Biology","ok"
"550","Insects","no"
"551","Insect Systematics and Diversity","ok"
"552","Integrative and Comparative Biology","ok"
"553","Integrative Zoology","ok"
"554","Interface Focus","ok"
"555","International Journal for Parasitology","ok"
"556","International Journal for Parasitology: Parasites and Wildlife","ok"
"557","International Journal of Agricultural Research Innovation and Technology","ok"
"558","International Journal of Agricultural Sustainability","no"
"559","International Journal of Antimicrobial Agents","no"
"560","International Journal of Applied Earth Observation and Geoinformation","no"
"561","International Journal of Archaeology","no"
"562","International Journal of Biological Sciences","no"
"563","International Journal of Comparative Psychology","ok"
"564","International Journal of Entomological Research","no"
"565","International Journal of Epidemiology","ok"
"566","International Journal of Fisheries and Aquatic Studies","no"
"567","International Journal of Historical Archaeology","no"
"568","International Journal of Infectious Diseases","ok"
"569","International Journal of Legal Medicine","no"
"570","International Journal of Modern Anthropology","ok"
"571","International Journal of Molecular Sciences","no"
"572","International Journal of Nautical Archaeology","ok"
"573","International Journal of Osteoarchaeology","no"
"574","International Journal of Paleopathology","ok"
"575","International Journal of Pharmaceutics","no"
"576","International Journal of Plant Sciences","no"
"577","International Journal of Primatology","ok"
"578","International Journal of Remote Sensing","ok"
"579","International Journal of Research Studies in Biosciences","no"
"580","International Journal of Speleology","ok"
"581","International Journal of Sustainable Development and World Ecology","no"
"582","International Journal of Systematic and Evolutionary Microbiology","ok"
"583","International Journal of Wildland Fire","ok"
"584","International Zoo Yearbook","ok"
"585","Internet Archaeology","ok"
"586","Intervirology","no"
"587","Invasive Plant Science and Management","ok"
"588","Invertebrate Systematics","ok"
"589","Iscience","no"
"590","ISME Communications","ok"
"591","ISME Journal","ok"
"592","Italian Botanist","ok"
"593","Italian Journal of Mycology","ok"
"594","Journal de la Societe des Americanistes","ok"
"595","Journal de la Societe des Oceanistes","ok"
"596","Journal de la Societe Francaise de Statistique","ok"
"597","Journal for Nature Conservation","no"
"598","Journal International de Bioethique","ok"
"599","Journal of Advances in Modeling Earth Systems","ok"
"600","Journal of African Archaeology","no"
"601","Journal of African Diaspora Archaeology and Heritage","no"
"602","Journal of African Earth Sciences","ok"
"603","Journal of Agrarian Change","no"
"604","Journal of Algal Biomass Utilization","no"
"605","Journal of Alzheimer’s Disease","no"
"606","Journal of Anatomy","ok"
"607","Journal of Animal Ecology","ok"
"608","Journal of Animal Science","ok"
"609","Journal of Anthropological Archaeology","no"
"610","Journal of Anthropological Sciences","ok"
"611","Journal of Antimicrobial Chemotherapy","ok"
"612","Journal of Applied and Environmental Microbiology","no"
"613","Journal of Applied Aquaculture","no"
"614","Journal of Applied Botany and Food Quality","ok"
"615","Journal of Applied Ecology","ok"
"616","Journal of Applied Entomology","no"
"617","Journal of Applied Ichthyology","no"
"618","Journal of Applied Microbiology","ok"
"619","Journal of Applied Research on Medicinal and Aromatic Plants","no"
"620","Journal of Arachnology","ok"
"621","Journal of Archaeological Method and Theory","no"
"622","Journal of Archaeological Research","no"
"623","Journal of Archaeological Science","no"
"624","Journal of Archaeological Science: Reports","no"
"625","Journal of Arid Environments","no"
"626","Journal of Arid Land","ok"
"627","Journal of Asian Earth Sciences","no"
"628","Journal of Avian Biology","ok"
"629","Journal of Bat Research and Conservation","ok"
"630","Journal of Behavior","no"
"631","Journal of Biogeography","no"
"632","Journal of Bioinformatics and Computational Biology","no"
"633","Journal of Biological Research Thessaloniki","ok"
"634","Journal of Bryology","ok"
"635","Journal of Caribbean Ornithology","ok"
"636","Journal of Cave and Karst Studies","ok"
"637","Journal of Chemical Ecology","ok"
"638","Journal of Cleaner Production","no"
"639","Journal of Coastal Conservation","ok"
"640","Journal of Coastal Research","ok"
"641","Journal of Community Archaeology & Heritage","no"
"642","Journal of Comparative Psychology","ok"
"643","Journal of Computational and Graphical Statistics","ok"
"644","Journal of Computer and System Sciences","no"
"645","Journal of Computer Applications in Archaeology","ok"
"646","Journal of Conflict Archaeology","no"
"647","Journal of Crustacean Biology","ok"
"648","Journal of Cultural Heritage","no"
"649","Journal of Dentistry","no"
"650","Journal of Eastern Mediterranean Archaeology and Heritage Studies","ok"
"651","Journal of Ecohydraulics","ok"
"652","Journal of Ecology","ok"
"653","Journal of Economic Entomology","ok"
"654","Journal of Environmental Management","no"
"655","Journal of Ethnobiology","ok"
"656","Journal of Eukaryotic Microbiology","ok"
"657","Journal of European Taxonomy","no"
"658","Journal of Evolutionary Biology","ok"
"659","Journal of Experimental Biology","ok"
"660","Journal of Experimental Botany","ok"
"661","Journal of Experimental Marine Biology and Ecology","no"
"662","Journal of Experimental Zoology","ok"
"663","Journal of Field Archaeology","ok"
"664","Journal of Field Ornithology","ok"
"665","Journal of Fish Biology","ok"
"666","Journal of Fish Diseases","no"
"667","Journal of Fisheries and Marine Science","no"
"668","Journal of Forestry Research","no"
"669","Journal of General Virology","ok"
"670","Journal of Geophysical Research: Biogeosciences","ok"
"671","Journal of Global Health","ok"
"672","Journal of Graph Algorithms and Applications","ok"
"673","Journal of Great Lakes Research","ok"
"674","Journal of Helminthology","no"
"675","Journal of Heredity","ok"
"676","Journal of Herpetology","ok"
"677","Journal of Historical Geography","no"
"678","Journal of Human Evolution","no"
"679","Journal of Hymenoptera Research","ok"
"680","Journal of Iberian Geology","ok"
"681","Journal of Insect Science","ok"
