"","Journal","IsDafnee"
"682","Journal of Integrated Pest Management","ok"
"683","Journal of Invertebrate Pathology","no"
"684","Journal of Iran National Museum","ok"
"685","Journal of Island and Coastal Archaeology","no"
"686","Journal of Land Use Science","no"
"687","Journal of Limnology","ok"
"688","Journal of Lithic Studies","ok"
"689","Journal of Mammalian Evolution","ok"
"690","Journal of Mammalogy","ok"
"691","Journal of Maps","no"
"692","Journal of Maritime Archaeology","no"
"693","Journal of Material Culture","no"
"694","Journal of Mathematical Biology","ok"
"695","Journal of Medical Entomology","ok"
"696","Journal of Medical Imaging","no"
"697","Journal of Mediterranean Archaeology","no"
"698","Journal of Microbiology and Biotechnology","ok"
"699","Journal of Micropalaeontology","ok"
"700","Journal of Molecular Evolution","no"
"701","Journal of Molluscan Studies","ok"
"702","Journal of Morphology","no"
"703","Journal of Open Archaeology Data","no"
"704","Journal of Open Source Software","ok"
"705","Journal of Ornithology","ok"
"706","Journal of Orthoptera Research","ok"
"707","Journal of Paleolimnology","no"
"708","Journal of Paleolithic Archaeology","no"
"709","Journal of Paleontology","ok"
"710","Journal of Parasitology","ok"
"711","Journal of Peasant Studies","no"
"712","Journal of Pest Science","no"
"713","Journal of Phycology","ok"
"714","Journal of Plant Ecology","ok"
"715","Journal of Plant Research","ok"
"716","Journal of Pollination Ecology","ok"
"717","Journal of Polynesian Archaeology and Research","ok"
"718","Journal of Proteomics","ok"
"719","Journal of Quaternary Science","ok"
"720","Journal of Raptor Research","ok"
"721","Journal of Roman Archaeology","no"
"722","Journal of Roman Studies","ok"
"723","Journal of Sea Research","no"
"724","Journal of Social Archaeology","no"
"725","Journal of South American Earth Sciences","no"
"726","Journal of Statistical Software","ok"
"727","Journal of Stratigraphy and Sedimentology Researches","ok"
"728","Journal of Sustainable Agriculture and Environment","ok"
"729","Journal of Systematic Palaeontology","ok"
"730","Journal of Systematics and Evolution","ok"
"731","Journal of the British Archaeological Association","ok"
"732","Journal of the Geological Society (of London)","ok"
"733","Journal of the Indian Society of Coastal Agricultural Research","ok"
"734","Journal of the Marine Biological Association of the United Kingdom","ok"
"735","Journal of the National Museum (Prague) Natural History Series","no"
"736","Journal of Theoretical Biology","no"
"737","Journal of the Lepidopterists' Society","ok"
"738","Journal of the World Aquaculture Society","ok"
"739","Journal of Threatened Taxa","ok"
"740","Journal of Tropical Ecology","no"
"741","Journal of Vector Ecology","ok"
"742","Journal of Vegetation Science","ok"
"743","Journal of Vertebrate Biology","ok"
"744","Journal of Vertebrate Paleontology","ok"
"745","Journal of Virology","ok"
"746","Journal of Wetland Archaeology","no"
"747","Journal of Wildlife Diseases","ok"
"748","Journal of Wildlife Management","ok"
"749","Journal of World Prehistory","no"
"750","Journal of Zoological Systematics and Evolutionary Research","no"
"751","Journal of Zoology","ok"
"752","Journals of Gerontology: Series A","ok"
"753","Knowledge and Management of Aquatic Ecosystems","ok"
"754","Lancet Infectious Diseases","no"
"755","Land","no"
"756","Land Degradation and Development","no"
"757","Landscape Ecology","ok"
"758","Lankesteriana","ok"
"759","L'Anthropologie","ok"
"760","La Recherche","no"
"761","La Terre et La Vie - Revue d Ecologie Appliquee a la Protection de la Nature","no"
"762","Latin American Antiquity","ok"
"763","La Voix des Rizipisciculteurs","no"
"764","Les Ateliers de l'Ethique","no"
"765","Les cahiers de la Recherche. Santé Environnement Travail","no"
"766","Les Nouvelles de l’Archeologie","ok"
"767","Le Trufficulteur Francais","no"
"768","Letters in Applied Microbiology","ok"
"769","Leukemia Research","no"
"770","Levant","ok"
"771","Limnologica","no"
"772","Lindbergia","ok"
"773","Lithic Technology","no"
"774","Lucentum","ok"
"775","Malacologia","ok"
"776","Malaria Journal","no"
"777","Malimbus","ok"
"778","Mammalia","no"
"779","Mammalian Biology","ok"
"780","Mammalian Genome","ok"
"781","Mammal Research","no"
"782","Mammal Review","ok"
"783","Mammal Study","ok"
"784","Management of Biological Invasions","ok"
"785","Marine and Freshwater Research","no"
"786","Marine Biodiversity","no"
"787","Marine Biology","no"
"788","Marine Biology Research","no"
"789","Marine Ecology Progress Series","ok"
"790","Marine Environmental Research","no"
"791","Marine Mammal Science","ok"
"792","Marine Micropaleontology","no"
"793","Marine Pollution Bulletin","no"
"794","Mastozoologia Neotropical","ok"
"795","mBio","ok"
"796","Medecine/Sciences","no"
"797","Medical and Veterinary Entomology","ok"
"798","Medieval Archaeology","ok"
"799","Mediterranean Archaeology and Archaeometry","no"
"800","Mediterranean Botany","ok"
"801","Mediterranean Marine Science","ok"
"802","Mediterranee","no"
"803","Memoires du Museum d Histoire Naturelle","ok"
"804","Methods in Ecology and Evolution","ok"
"805","Methods in Molecular Biology","no"
"806","Microbial Ecology","no"
"807","Microbial Genomics","ok"
"808","Microbial Pathogenesis","no"
"809","Microbiology","ok"
"810","Microbiology Resource Announcements","ok"
"811","Microbiology Spectrum","ok"
"812","Microbiome","no"
"813","Microorganisms","no"
"814","Micropaleontology","ok"
"815","Minerals","no"
"816","Mitekufat Haeven: Journal of the Israel Prehistoric Society","ok"
"817","Mitochondrial DNA","no"
"818","Mobile DNA","no"
"819","Molecular and Biochemical Parasitology","no"
"820","Molecular Biology and Evolution","ok"
"821","Molecular Ecology","no"
"822","Molecular Ecology Resources","no"
"823","Molecular Phylogenetics and Evolution","no"
"824","Molecular Reproduction and Development","no"
"825","Molecular Therapy","no"
"826","Molecules","no"
"827","MorphoMuseum","ok"
"828","Movement Ecology","no"
"829","mSphere","ok"
"830","mSystems","ok"
"831","Munibe. Antropologia-Arkeologia","ok"
"832","MycoKeys","no"
"833","Mycologia","ok"
"834","Mycological Progress","ok"
"835","Mycopathologia","ok"
"836","Mycorrhiza","no"
"837","Mycosphere","ok"
"838","Myrmecological News","ok"
"839","National Science Review","ok"
"840","Naturae","ok"
"841","Natural Areas Journal","ok"
"842","Natural Product Research","no"
"843","Nature","no"
"844","Nature Climate Change","no"
"845","Nature Communications","no"
"846","Nature Ecology & Evolution","no"
"847","Nature Genetics","no"
"848","Nature Geoscience","no"
"849","Nature Neuroscience","no"
"850","Nature Physics","no"
"851","Nature Plants","no"
"852","Nature Reviews Genetics","no"
"853","Nature Reviews Microbiology","no"
"854","Nature Sciences Societes","ok"
"855","Nature Sustainability","no"
"856","Near Eastern Archaeology","ok"
"857","NeoBiota","ok"
"858","Neotropical Biodiversity","no"
"859","Neotropical Helminthology","ok"
"860","Neues Jahrbuch fur Geologie und Palaontologie","no"
"861","Neurochemistry International","no"
"862","New Phytologist","ok"
"863","Newsletters on Stratigraphy","no"
"864","News of the Lepidopterists Society","ok"
"865","New Zealand Journal of Ecology","ok"
"866","Nonlinear Analysis: Real World Applications","no"
"867","Nordic Journal of Botany","ok"
"868","North American Journal of Aquaculture","ok"
"869","Northwestern Naturalist","no"
"870","Norwegian Archaeological Review","no"
"871","Nota Lepidopterologica","ok"
"872","Nova Hedwigia","no"
"873","Novitates Caribaea","ok"
"874","Nucleic Acids Research","no"
"875","Nutrients","no"
"876","Nyame Akuma Bulletin","ok"
"877","Oceanography","ok"
"878","Oecologia","no"
"879","Oikos","ok"
"880","One Earth","no"
"881","One Health","ok"
"882","Open Archaeology","no"
"883","Open Biology","ok"
"884","Open Journal of Ecology","no"
"885","Open Quaternary","no"
"886","Open Research Europe","ok"
"887","Organic Geochemistry","no"
"888","Organisms Diversity & Evolution","ok"
"889","Ornis Fennica","ok"
"890","Ornithological Applications","ok"
"891","Ornithological Science","ok"
"892","Ornithology","ok"
"893","Ornithos","ok"
"894","Oryx","no"
"895","Oxford Bibliographies in Environmental Science","no"
"896","Oxford Journal of Archaeology","ok"
"897","Pacific Conservation Biology","no"
"898","Pacific Science","ok"
"899","Pakistan Journal of Botany","ok"
"900","Palaeobiodiversity and Palaeoenvironments","no"
"901","Palaeoentomology","ok"
"902","Palaeogeography Palaeoclimatology Palaeoecology","no"
"903","Palaeontographica Abteilung A","no"
"904","Palaeontologia Electronica","ok"
"905","Palaeontology","ok"
"906","PalaeoVertebrata","ok"
"907","Palaeoworld","ok"
"908","Palaontologische Zeitschrift","ok"
"909","Paleo","no"
"910","PaleoAnthropology","ok"
"911","Paleobiology","ok"
"912","Paleoceanography and Paleoclimatology","ok"
"913","Paleontological Research","ok"
"914","PALEO : Revue d'Archeologie Prehistorique","ok"
"915","Paleorient","ok"
"916","Palestine Exploration Quarterly","ok"
"917","Palynology","no"
"918","Palz","no"
"919","Pamatky Archeologicke","ok"
"920","Papers in Palaeontology","ok"
"921","Parasite","ok"
"922","Parasites and Vectors","no"
"923","Parasites Hosts and Diseases","ok"
"924","Parasitology","no"
"925","Parasitology International","ok"
"926","Parasitology Research","no"
"927","Past Global Changes Magazine","ok"
"928","Pedosphere","ok"
"929","Peer Community In Animal Science","ok"
"930","Peer Community In Archaeology","ok"
"931","Peer Community In Ecology","ok"
"932","Peer Community In Ecotoxicology and Environmental Chemistry","ok"
"933","Peer Community In Evolutionary Biology","ok"
"934","Peer Community In Forest and Wood Sciences","ok"
"935","Peer Community In Genomics","ok"
"936","Peer Community In Health and Movement Science","ok"
"937","Peer Community In Infections","ok"
"938","Peer Community In Mathematical and Computational Biology","ok"
"939","Peer Community In Microbiology","ok"
"940","Peer Community In Network Science","ok"
"941","Peer Community In Neuroscience","ok"
"942","Peer Community In Paleontology","ok"
"943","Peer Community In Registered Reports","ok"
"944","Peer Community In Zoology","ok"
"945","Peer Community Journal","ok"
"946","PeerJ","no"
"947","People & Nature","ok"
"948","Permafrost and Periglacial Processes","no"
"949","Personality and Individual Differences","ok"
"950","Persoonia","ok"
"951","Perspectives in Ecology and Conservation","ok"
"952","Perspectives in Plant Ecology Evolution and Systematics","no"
"953","Pest Management Science","no"
"954","Philosophical Transactions of the Royal Society B","ok"
"955","Philosophy Theory and Practice in Biology","ok"
"956","Phycologia","ok"
"957","Phytobiomes Journal","ok"
"958","Phytotaxa","no"
"959","Plains Anthropologist","ok"
"960","Plant and Soil","no"
"961","Plant Biology","ok"
"962","Plant Biosystems","ok"
"963","Plant Direct","ok"
"964","Plant Ecology and Diversity","ok"
"965","Plant Ecology and Evolution","ok"
"966","Plant Journal","ok"
"967","Plants","no"
"968","Plant Sociology","ok"
"969","Plants People Planet","ok"
"970","Plant Systematics and Evolution","no"
"971","PLoS Biology","ok"
"972","PLoS Computational Biology","ok"
"973","PLoS Genetics","ok"
"974","PLoS Neglected Tropical Diseases","ok"
"975","PLoS ONE","ok"
"976","PLoS Pathogens","ok"
"977","PNAS nexus","ok"
"978","Polish Journal of Ecology","ok"
"979","Population Ecology","ok"
"980","Post-Medieval Archaeology","ok"
"981","Practica Arqeologica: revista de la asociacion de arqueologos profesionales de la republica argentina","ok"
"982","Praehistorische Zeitschrift","ok"
"983","Prehistoire du Sud-Ouest","ok"
"984","Prehistoires Art et Societes : Bulletin de la Societe Prehistorique Ariege-Pyrenees","ok"
"985","Prehistoires mediterraneennes","ok"
"986","Primate Conservation","ok"
"987","Procedia Earth and Planetary Science","no"
"988","Proceedings of the Geologists Association","ok"
"989","Proceedings of the National Academy of Sciences of the USA","ok"
"990","Proceedings of the Royal Society A - Mathematical Physical and Engineering Sciences","ok"
"991","Proceedings of the Royal Society B - Biological Sciences","ok"
"992","Proceedings of the Royal Society Interface","ok"
"993","Progress in Oceanography","no"
"994","Public Archeology","no"
"995","Quaternaire","ok"
"996","Quaternary","no"
"997","Quaternary Geochronology","no"
"998","Quaternary International","ok"
"999","Quaternary Research","no"
"1000","Quaternary Science Reviews","no"
"1001","Queensland Archaeological Research","ok"
"1002","Radiocarbon","no"
"1003","Raffles Bulletin of Zoology","ok"
"1004","Records of the Australian Museum","ok"
"1005","Regional Environmental Change","no"
"1006","Remote Sensing","no"
"1007","Remote Sensing in Ecology and Conservation","ok"
"1008","Remote Sensing Letters","no"
"1009","Research for All","no"
"1010","Restoration Ecology","ok"
"1011","Rethinking Ecology","no"
"1012","Review of Palaeobotany and Palynology","no"
"1013","Reviews in Aquaculture","no"
"1014","Reviews in Fish Biology and Fisheries","no"
"1015","Reviews in Fisheries Science and Aquaculture","no"
"1016","Revista Brasileira de Paleontologia","ok"
"1017","Revista de Biologia Tropical","ok"
"1018","Revista de la Sociedad Entomologica Argentina","ok"
"1019","Revista del Museo de Antropologia","ok"
"1020","Revista Peruana de Biologia","ok"
"1021","Revue archeologique de l'Est","ok"
"1022","Revue d'elevage et de medecine veterinaire des pays tropicaux","ok"
"1023","Revue de Paleobiologie","ok"
"1024","Revue de Primatologie","ok"
"1025","Revue d'Histoire des Sciences","ok"
"1026","Revue Suisse de Zoologie","ok"
"1027","Rice","no"
"1028","Ringing and Migration","ok"
"1029","Rivista Italiana di Paleontologia e Stratigrafia","ok"
"1030","Royal Society Open Science","ok"
"1031","Salamandra","ok"
"1032","Scandinavian Journal of Statistics","ok"
"1033","Science","ok"
"1034","Science Advances","ok"
"1035","Science of Nature","no"
"1036","Science of the Total Environment","no"
"1037","Scientia Horticulturae","no"
"1038","Scientia Marina","ok"
"1039","Scientific Data","no"
"1040","Scientific Drilling","ok"
"1041","Scientific Reports","no"
"1042","Sedimentary Geology","no"
"1043","Sexual Development","no"
"1044","SIAM Journal on Applied Mathematics","ok"
"1045","SIAM Journal on Discrete Mathematics","ok"
"1046","Silva Balcanica","ok"
"1047","Smithsonian Contributions to Paleobiology","ok"
"1048","Soil Biology and Biochemistry","no"
"1049","South African Journal of Botany","ok"
"1050","Southeastern Archaeology","ok"
"1051","Southern African Field Archaeology","ok"
"1052","Southern African Humanities","ok"
"1053","SPAL - Revista de Prehistoria y Arqueologia","ok"
"1054","Spanish Journal of Palaeontology","ok"
"1055","Spectrochimica Acta","no"
"1056","Spelunca","ok"
"1057","SSRN Journal","no"
"1058","STAR: Science & Technology of Archaeological Research","no"
"1059","Statistics","no"
"1060","Stats","no"
"1061","Studies in Family Planning","ok"
"1062","Studies on Neotropical Fauna and Environment","no"
"1063","Sudan & Nubia","ok"
"1064","Sustainability","no"
"1065","Swiss Journal of Palaeontology","ok"
"1066","Symmetry","no"
"1067","Systematic and Applied Acarology","ok"
"1068","Systematic Biology","ok"
"1069","Systematic Botany","ok"
"1070","Systematic Entomology","ok"
"1071","Systematic Parasitology","no"
"1072","Takurunna","ok"
"1073","Talanta","no"
"1074","Taxon","ok"
"1075","Techne","ok"
"1076","Techniques Financieres et Developpement","no"
"1077","Tectonophysics","no"
"1078","Tel Aviv","ok"
"1079","Terra Nova","no"
"1080","Thalassas","no"
"1081","The Anatomical Record","ok"
"1082","The Botanical Review","no"
"1083","The Bulletin of Zoological Nomenclature","no"
"1084","The Canadian Entomologist","no"
"1085","The Coleopterists Bulletin","no"
"1086","The European Zoological Journal","no"
"1087","The Historic Environment: Policy & Practice","no"
"1088","The Holocene","no"
"1089","The ISME Journal","no"
"1090","The Journal of Island and Coastal Archaeology","no"
"1091","The Lancet","no"
"1092","The Lancet Planetary Health","no"
"1093","Theoretical Computer Science","no"
"1094","Theoretical Ecology","no"
"1095","Theoretical Population Biology","no"
"1096","Theoretical Roman Archaeology Journal","ok"
"1097","The Paleontological Society Papers","ok"
"1098","The Plant Journal","no"
"1099","Theriogenology","no"
"1100","The South African Archaeological Bulletin","ok"
"1101","Toxicon","ok"
"1102","Toxins","no"
"1103","Trabajos de Prehistoria","ok"
"1104","Transactions of the American Entomological Society","ok"
"1105","Transactions of The Royal Society of Tropical Medicine and Hygiene","ok"
"1106","Transboundary and Emerging Diseases","ok"
"1107","Translational Psychiatry","no"
"1108","Tree Genetics and Genomes","no"
"1109","Tree Physiology","no"
"1110","Trends in Ecology and Evolution","no"
"1111","Trends in Genetics","no"
"1112","Trends in Microbiology","no"
"1113","Trends in Parasitology","no"
"1114","Trends in Plant Science","no"
"1115","Treubia","ok"
"1116","Tropical Conservation Science","no"
"1117","Tropical Ecology","ok"
"1118","Tropical Medicine and Infectious Disease","ok"
"1119","Tropical Medicine and International Health","ok"
"1120","Turkish Journal of Fisheries and Aquatic Sciences","ok"
"1121","Urban Ecosystems","ok"
"1122","Vector-Borne and Zoonotic Diseases","no"
"1123","Vegetation Classification and Survey","ok"
"1124","Vegetation History and Archaeobotany","ok"
"1125","Vestnik Archeologii Antropologii i Etnografii","no"
"1126","Veterinary Parasitology","no"
"1127","Vie et Milieu - Life and environment","ok"
"1128","Virologie","ok"
"1129","Virtual Archaeology Review","ok"
"1130","Viruses","no"
"1131","Virus Evolution","no"
"1132","Water","no"
"1133","Waterbirds","ok"
"1134","Water History","ok"
"1135","Web Ecology","ok"
"1136","Weed Research","ok"
"1137","Wellcome Open Research","ok"
"1138","Wetlands","ok"
"1139","Wetland Science and Practice","ok"
"1140","Wildlife Biology","ok"
"1141","Wildlife Research","ok"
"1142","Wildlife Society Bulletin","ok"
"1143","World Archaeology","no"
"1144","World Journal of Microbiology & Biotechnology","no"
"1145","Yorkshire Archaeological Journal","ok"
"1146","Zephyrus","ok"
"1147","Zitteliana","ok"
"1148","Zookeys","no"
"1149","Zoologia","ok"
"1150","Zoological Journal of the Linnean Society","ok"
"1151","Zoological Research","ok"
"1152","Zoological Science","ok"
"1153","Zoological Studies","ok"
"1154","Zoologica Scripta","ok"
"1155","Zoology","no"
"1156","Zoomorphology","no"
"1157","Zoosystema","ok"
"1158","Zoosystematics and Evolution","ok"
"1159","Zootaxa","no"
"1160","Wilson Journal of Ornithology","ok"
"1161","Avocetta","ok"
"1162","Archaologisches Korrespondenzblatt","ok"
"1163","Egyptian Journal of Botany","ok"
"1164","Journal of Asia-Pacific Entomology","ok"
"1165","Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology","ok"
"1166","Apidologie","ok"
"1167","Cities and the Environment","ok"
"1168","Plant Biosystems","ok"
"1169","Journal of Applied and Environmental Microbiology","no"
"1170","Earth's Future","ok"
"1171","Especes","ok"
"1172","FAO Aquaculture Newsletter","ok"
"1173","Folia Zoologica","ok"
"1174","Forktail","ok"
"1175","Journal of Asian Ornithology","ok"
"1176","Genome Announcements","ok"
"1177","Journal of Great Lakes Research","ok"
"1178","Journal of the Indian Society of Coastal Agricultural Research","ok"
"1179","Algorithms for molecular biology","no"
"1180","Algorithms for molecular biology : AMB","no"
"1181","Animals","no"
"1182","Animals : an open access journal from MDPI","no"
"1183","BioEssays","no"
"1184","BioEssays : news and reviews in molecular, cellular and developmental biology","no"
"1185","Bioinformatics","ok"
"1186","Bioinformatics (Oxford, England)","no"
"1187","BMC Biology","no"
"1188","Journal of Biology","no"
"1189","Chromosome Research","no"
"1190","Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology","no"
"1191","Comparative biochemistry and physiology","no"
"1192","Comparative biochemistry and physiology. Part B, Biochemistry & molecular biology","no"
"1193","Current biology","no"
"1194","Current biology : CB","no"
"1195","Diversity and Distributions","no"
"1196","Diversity & distributions","no"
"1197","European Journal of Human Genetics","ok"
"1198","European journal of human genetics : EJHG","no"
"1199","Experimental and Applied Acarology","no"
"1200","Experimental & applied acarology","no"
"1201","Evolutionary psychology","no"
"1202","Evolutionary psychology : an international journal of evolutionary approaches to psychology and behavior","no"
"1203","Genetics Research","no"
"1204","Genetical Research","no"
"1205","Global ecology and biogeography","no"
"1206","Global ecology and biogeography : a journal of macroecology","no"
"1207","Infection, genetics and evolution","no"
"1208","Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases","no"
"1209","International journal for parasitology: Parasites and wildlife","ok"
"1210","International journal for parasitology. Parasites and wildlife","no"
"1211","International Journal of Agricultural Research Innovation and Technology","ok"
"1212","International Journal of Agricultural Research, Innovation and Technology","no"
"1213","Journal of Biological Research Thessaloniki","ok"
"1214","Journal of Biological Research - Thessaloniki","no"
"1215","Journal of Geophysical Research Biogeosciences","no"
"1216","Journal of Geophysical Research: Biogeosciences","ok"
"1217","Journal of Experimental Biology","ok"
"1218","The Journal of Experimental Biology","no"
"1219","Journal of experimental zoology","ok"
"1220","Journal of Experimental Zoology Part A: Ecological Genetics and Physiology","no"
"1221","Journal of Experimental Zoology. Part A, Ecological Genetics and Physiology","no"
"1222","Journal of experimental zoology. Part B, Molecular and developmental evolution","no"
"1223","Journal of experimental zoology Part B: Molecular and developmental evolution","no"
"1224","Lancet Infectious Diseases","no"
"1225","The Lancet Infectious Diseases","no"
"1226","The Lancet Planetary Health","no"
"1227","Lancet Planetary Health","no"
"1228","Mastozoología Neotropical","no"
"1229","Mastozoologia Neotropical","ok"
"1230","Medecine/Sciences","no"
"1231","Medecine sciences : M/S","no"
"1232","M S-MEDECINE SCIENCES","no"
"1233","Methods in molecular biology","no"
"1234","Methods in molecular biology (Clifton, N.J.)","no"
"1235","Mitochondrial DNA","no"
"1236","Mitochondrial DNA. Part A, DNA mapping, sequencing, and analysis","no"
"1237","Nature Reviews Genetics","no"
"1238","Nature reviews. Genetics","no"
"1239","Palaeogeography, Palaeoclimatology, Palaeoecology","no"
"1240","Palaeogeography Palaeoclimatology Palaeoecology","no"
"1241","Palaontologische Zeitschrift","ok"
"1242","Paläontologische Zeitschrift","no"
"1243","Parasites and Vectors","no"
"1244","Parasites & vectors","no"
"1245","Plants","no"
"1246","Plants (Basel, Switzerland)","no"
"1247","Revue de Paleobiologie","ok"
"1248","Revue de Paléobiologie","no"
"1249","Science of Nature","no"
"1250","The Science of Nature","no"
"1251","Naturwissenschaften","no"
"1252","Die naturwissenschaften","no"
"1253","Science of the Total Environment","no"
"1254","The Science of the total environment","no"
"1255","The Holocene","no"
"1256","HOLOCENE","no"
"1257","Trends in ecology and evolution","no"
"1258","Trends in ecology & evolution","no"
"1259","Trends in genetics","no"
"1260","Trends in genetics : TIG","no"
"1261","Agriculture and Natural Resources","ok"
"1262","Kasetsart Journal","ok"
"1263","Alzheimer's & dementia","ok"
"1264","Alzheimer's & dementia : the journal of the Alzheimer's Association","ok"
"1265","Conservation biology","ok"
"1266","Conservation biology : the journal of the Society for Conservation Biology","ok"
"1267","Ecological Applications","ok"
"1268","Ecological applications : a publication of the Ecological Society of America","ok"
"1269","Evolution","ok"
"1270","Evolution; international journal of organic evolution","ok"
"1271","Estudos do Quaternario","ok"
"1272","Quaternary Studies","ok"
"1273","Evolution Medicine and Public Health","ok"
"1274","Evolution, medicine, and public health","ok"
"1275","G3 - Genes Genomes Genetics","ok"
"1276","G3 (Bethesda, Md.)","ok"
"1277","G3-GENES GENOMES GENETICS","ok"
"1278","G3","ok"
"1279","Géologues","ok"
"1280","Geologues","ok"
"1281","Ichthyology & Herpetology","ok"
"1282","Copeia","ok"
"1283","Journal of Animal Ecology","ok"
"1284","The Journal of animal ecology","ok"
"1285","Journal of Applied Ecology","ok"
"1286","The Journal of applied ecology","ok"
"1287","Journal of Eukaryotic Microbiology","ok"
"1288","The Journal of eukaryotic microbiology","ok"
"1289","Journal of experimental zoology","ok"
"1290","Journal of experimental zoology. Part A, Ecological and integrative physiology","ok"
"1291","Journal of heredity","ok"
"1292","The Journal of heredity","ok"
"1293","Journal of the Royal Society Interface","ok"
"1294","Journal of the Royal Society, Interface","ok"
"1295","Journal of Vegetation Science","ok"
"1296","Journal of vegetation science : official organ of the International Association for Vegetation Science","ok"
"1297","Microbiology Resource Announcements","ok"
"1298","Genome Announcements","ok"
"1299","New Phytologist","ok"
"1300","The New phytologist","ok"
"1301","Ornithological Applications","ok"
"1302","The Condor","ok"
"1303","Ornithology","ok"
"1304","The Auk","ok"
"1305","Philosophical Transactions of the Royal Society B","ok"
"1306","Philosophical transactions of the Royal Society of London. Series B, Biological sciences","ok"
"1307","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","ok"
"1308","Plant Ecology and Diversity","ok"
"1309","Botanical Journal of Scotland ","ok"
"1310","Proceedings of the Royal Society B - Biological Sciences","ok"
"1311","Proceedings. Biological sciences","ok"
"1312","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","ok"
"1313","Proceedings of the National Academy of Sciences of the USA","ok"
"1314","Proceedings of the National Academy of Sciences of the United States of America","ok"
"1315","Science","ok"
"1316","Science (New York, N.Y.)","ok"
"1317","The American Naturalist","ok"
"1318","American Naturalist","ok"
"1319","The Anatomical Record","ok"
"1320","The Anatomical Record: Advances in Integrative Anatomy and Evolutionary Biology","ok"
"1321","Anatomical record (Hoboken, N.J. : 2007)","ok"
"1322","Virologie","ok"
"1323","Virologie (Montrouge, France)","ok"
"1324","Acta Botanica Gallica","ok"
"1325","American Journal of Physical Anthropology","ok"
"1326","Folia Zoologica","ok"
"1327","Forktail","ok"
"1328","Genome Announcements","ok"
"1329","The Paleontological Society Papers","ok"
