Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,NATURE PORTFOLIO,1471-0072,1471-0080,CELL BIOLOGY,SCIE,65632,81.3,Q1,8.76,1.37%
Nature Reviews Materials,NAT REV MATER,NATURE PORTFOLIO,2058-8437,2058-8437,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,35616,79.8,Q1,4.35,1.99%
NATURE MEDICINE,NAT MED,NATURE PORTFOLIO,1078-8956,1546-170X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,129261,58.7,Q1,13.63,47.38%
NATURE MEDICINE,NAT MED,NATURE PORTFOLIO,1078-8956,1546-170X,CELL BIOLOGY,SCIE,129261,58.7,Q1,13.63,47.38%
NATURE,NATURE,NATURE PORTFOLIO,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES,SCIE,912552,50.5,Q1,11.28,34.42%
Nature Reviews Methods Primers,NAT REV METHOD PRIME,SPRINGERNATURE,N/A,2662-8449,MULTIDISCIPLINARY SCIENCES,ESCI,4515,50.1,Q1,8.14,5.97%
Nature Energy,NAT ENERGY,NATURE PORTFOLIO,2058-7546,2058-7546,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,46820,49.7,Q1,7.92,14.62%
Nature Reviews Earth & Environment,NAT REV EARTH ENV,SPRINGERNATURE,N/A,2662-138X,ENVIRONMENTAL SCIENCES,SCIE,8321,49.7,Q1,5.01,0.64%
CANCER CELL,CANCER CELL,CELL PRESS,1535-6108,1878-3686,CELL BIOLOGY,SCIE,52068,48.8,Q1,7.56,78.65%
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,AMER PHYSICAL SOC,0034-6861,1539-0756,"PHYSICS, MULTIDISCIPLINARY",SCIE,57818,45.9,Q1,4.04,10.89%
CELL,CELL,CELL PRESS,0092-8674,1097-4172,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,305198,45.5,Q1,10.01,83.50%
CELL,CELL,CELL PRESS,0092-8674,1097-4172,CELL BIOLOGY,SCIE,305198,45.5,Q1,10.01,83.50%
Nature Reviews Physics,NAT REV PHYS,NATURE PORTFOLIO,N/A,2522-5820,"PHYSICS, MULTIDISCIPLINARY",SCIE,8134,44.8,Q1,2.75,3.52%
SCIENCE,SCIENCE,AMER ASSOC ADVANCEMENT SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES,SCIE,763009,44.7,Q1,9.91,4.53%
eScience,ESCIENCE,KEAI PUBLISHING LTD,N/A,2667-1417,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,3827,42.9,Q1,6.67,97.08%
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,29874,40.8,Q1,4.42,99.57%
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,CELL BIOLOGY,SCIE,29874,40.8,Q1,4.42,99.57%
Joule,JOULE,CELL PRESS,2542-4351,2542-4351,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,38070,38.6,Q1,4.41,74.39%
Nature Nanotechnology,NAT NANOTECHNOL,NATURE PORTFOLIO,1748-3387,1748-3395,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,76128,38.1,Q1,5.15,11.20%
NATURE MATERIALS,NAT MATER,NATURE PORTFOLIO,1476-1122,1476-4660,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,108002,37.2,Q1,6.43,10.78%
PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,PERGAMON-ELSEVIER SCIENCE LTD,0079-6425,1873-2208,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,29821,33.6,Q1,2.39,21.33%
Innovation,INNOVATION-AMSTERDAM,CELL PRESS,2666-6758,2666-6758,MULTIDISCIPLINARY SCIENCES,ESCI,5342,33.2,Q1,4.53,88.72%
Energy & Environmental Science,ENERG ENVIRON SCI,ROYAL SOC CHEMISTRY,1754-5692,1754-5706,ENVIRONMENTAL SCIENCES,SCIE,110768,32.4,Q1,4.39,20.18%
Nano-Micro Letters,NANO-MICRO LETT,SHANGHAI JIAO TONG UNIV PRESS,2311-6706,2150-5551,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,24745,31.6,Q1,4.58,99.85%
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,ELSEVIER SCIENCE SA,0927-796X,1879-212X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,9807,31.6,Q1,2.03,29.87%
Nature Climate Change,NAT CLIM CHANGE,NATURE PORTFOLIO,1758-678X,1758-6798,ENVIRONMENTAL SCIENCES,SCIE,46843,29.6,Q1,5.51,23.41%
Nature Climate Change,NAT CLIM CHANGE,NATURE PORTFOLIO,1758-678X,1758-6798,ENVIRONMENTAL STUDIES,SSCI,46843,29.6,Q1,5.51,23.41%
Advanced Powder Materials,ADV POWDER MATER,KEAI PUBLISHING LTD,N/A,2772-834X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,1723,28.6,Q1,8.38,97.56%
CELL RESEARCH,CELL RES,SPRINGERNATURE,1001-0602,1748-7838,CELL BIOLOGY,SCIE,27759,28.1,Q1,3.64,62.42%
Cell Metabolism,CELL METAB,CELL PRESS,1550-4131,1932-7420,CELL BIOLOGY,SCIE,58139,27.7,Q1,5.43,81.03%
Molecular Cancer,MOL CANCER,BMC,N/A,1476-4598,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,36560,27.7,Q1,5.26,100.00%
ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,0935-9648,1521-4095,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,392263,27.4,Q1,4.09,18.14%
Nature Sustainability,NAT SUSTAIN,NATURE PORTFOLIO,2398-9629,2398-9629,ENVIRONMENTAL SCIENCES,SCIE,18380,25.7,Q1,4.51,19.28%
Nature Sustainability,NAT SUSTAIN,NATURE PORTFOLIO,2398-9629,2398-9629,ENVIRONMENTAL STUDIES,SSCI,18380,25.7,Q1,4.51,19.28%
Interdisciplinary Materials,INTERD MATER,WILEY,2767-4401,2767-441X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,875,24.5,Q1,2.93,95.45%
Advanced Energy Materials,ADV ENERGY MATER,WILEY-V C H VERLAG GMBH,1614-6832,1614-6840,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,131887,24.4,Q1,3.6,18.53%
Lancet Planetary Health,LANCET PLANET HEALTH,ELSEVIER SCI LTD,N/A,2542-5196,ENVIRONMENTAL SCIENCES,SCIE,8325,24.1,Q1,4.56,77.43%
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,ELSEVIER,0370-1573,1873-6270,"PHYSICS, MULTIDISCIPLINARY",SCIE,33664,23.9,Q1,2.85,42.68%
InfoMat,INFOMAT,WILEY,N/A,2567-3165,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,6530,22.7,Q1,2.48,88.84%
EnergyChem,ENERGYCHEM,ELSEVIER,2589-7780,2589-7780,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,2235,22.2,Q1,2.81,6.35%
Nature Human Behaviour,NAT HUM BEHAV,NATURE PORTFOLIO,2397-3374,2397-3374,MULTIDISCIPLINARY SCIENCES,SCIE,14996,21.4,Q1,6.21,22.10%
Annual Review of Plant Biology,ANNU REV PLANT BIOL,ANNUAL REVIEWS,1543-5008,1545-2123,PLANT SCIENCES,SCIE,23058,21.3,Q1,2.64,37.93%
Materials Today,MATER TODAY,ELSEVIER SCI LTD,1369-7021,1873-4103,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,27880,21.1,Q1,3.4,24.16%
Cell Stem Cell,CELL STEM CELL,CELL PRESS,1934-5909,1875-9777,CELL BIOLOGY,SCIE,30699,19.8,Q1,4.35,82.67%
Carbon Energy,CARBON ENERGY,WILEY,N/A,2637-9368,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,5024,19.5,Q1,2.29,90.81%
ACS Energy Letters,ACS ENERGY LETT,AMER CHEMICAL SOC,2380-8195,2380-8195,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,55559,19.3,Q1,2.82,11.57%
REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,IOP Publishing Ltd,0034-4885,1361-6633,"PHYSICS, MULTIDISCIPLINARY",SCIE,20914,19,Q1,1.71,4.88%
Energy Storage Materials,ENERGY STORAGE MATER,ELSEVIER,2405-8297,2405-8289,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,47960,18.9,Q1,2.97,10.80%
Science Bulletin,SCI BULL,ELSEVIER,2095-9273,2095-9281,MULTIDISCIPLINARY SCIENCES,SCIE,18154,18.8,Q1,3.37,22.64%
SusMat,SUSMAT,WILEY,2766-8479,2692-4552,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,1635,18.7,Q1,2.44,88.41%
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,WILEY-V C H VERLAG GMBH,1616-301X,1616-3028,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,250260,18.5,Q1,2.74,13.91%
Nature Physics,NAT PHYS,NATURE PORTFOLIO,1745-2473,1745-2481,"PHYSICS, MULTIDISCIPLINARY",SCIE,48457,17.6,Q1,4.78,19.83%
NATURE CELL BIOLOGY,NAT CELL BIOL,NATURE PORTFOLIO,1465-7392,1476-4679,CELL BIOLOGY,SCIE,47382,17.3,Q1,2.93,30.48%
Matter,MATTER-US,CELL PRESS,2590-2393,2590-2385,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,14249,17.3,Q1,2.46,65.71%
TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,CELL PRESS,1360-1385,1878-4372,PLANT SCIENCES,SCIE,30859,17.3,Q1,1.9,36.14%
Advanced Fiber Materials,ADV FIBER MATER,SPRINGERNATURE,2524-7921,2524-793X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,4009,17.2,Q1,3.35,6.18%
Molecular Plant,MOL PLANT,CELL PRESS,1674-2052,1752-9867,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,23905,17.1,Q1,4.88,85.32%
Molecular Plant,MOL PLANT,CELL PRESS,1674-2052,1752-9867,PLANT SCIENCES,SCIE,23905,17.1,Q1,4.88,85.32%
Nature Aging,NATURE AGING,SPRINGERNATURE,N/A,2662-8465,CELL BIOLOGY,SCIE,3203,17,Q1,3.44,30.15%
Nano Energy,NANO ENERGY,ELSEVIER,2211-2855,2211-3282,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,113862,16.8,Q1,2.74,9.78%
INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,SAGE PUBLICATIONS INC,0950-6608,1743-2804,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,8115,16.8,Q1,0.88,29.31%
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,CELL PRESS,1364-6613,1879-307X,BEHAVIORAL SCIENCES,SCIE,32732,16.7,Q1,2.06,43.06%
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,CELL PRESS,0169-5347,1872-8383,ECOLOGY,SCIE,39040,16.7,Q1,1.99,47.04%
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,CELL PRESS,0169-5347,1872-8383,EVOLUTIONARY BIOLOGY,SCIE,39040,16.7,Q1,1.99,47.04%
BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,CAMBRIDGE UNIV PRESS,0140-525X,1469-1825,BEHAVIORAL SCIENCES,SCIE,11517,16.6,Q1,5.44,0.00%
NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,OXFORD UNIV PRESS,0305-1048,1362-4962,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,271360,16.6,Q1,2.9,93.75%
National Science Review,NATL SCI REV,OXFORD UNIV PRESS,2095-5138,2053-714X,MULTIDISCIPLINARY SCIENCES,SCIE,15536,16.3,Q1,3.27,93.89%
International Journal of Extreme Manufacturing,INT J EXTREME MANUF,IOP Publishing Ltd,2631-8644,2631-7990,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,2125,16.1,Q1,1.82,100.00%
Nature Plants,NAT PLANTS,NATURE PORTFOLIO,2055-026X,2055-0278,PLANT SCIENCES,SCIE,16103,15.8,Q1,4.44,18.73%
Science Translational Medicine,SCI TRANSL MED,AMER ASSOC ADVANCEMENT SCIENCE,1946-6234,1946-6242,CELL BIOLOGY,SCIE,50866,15.8,Q1,3.51,7.22%
ACS Nano,ACS NANO,AMER CHEMICAL SOC,1936-0851,1936-086X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,227757,15.8,Q1,2.42,10.55%
Journal of Extracellular Vesicles,J EXTRACELL VESICLES,WILEY,N/A,2001-3078,CELL BIOLOGY,SCIE,13295,15.5,Q1,2.23,71.14%
Annual Review of Environment and Resources,ANNU REV ENV RESOUR,ANNUAL REVIEWS,1543-5938,1545-2050,ENVIRONMENTAL SCIENCES,SCIE,7103,15.5,Q1,1.54,90.59%
Annual Review of Environment and Resources,ANNU REV ENV RESOUR,ANNUAL REVIEWS,1543-5938,1545-2050,ENVIRONMENTAL STUDIES,SSCI,7103,15.5,Q1,1.54,90.59%
SmartMat,SMARTMAT,WILEY,2766-8525,2688-819X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,1954,15.3,Q1,2.16,87.13%
One Earth,ONE EARTH,CELL PRESS,2590-3330,2590-3322,ENVIRONMENTAL SCIENCES,SCIE,5889,15.1,Q1,1.92,82.43%
One Earth,ONE EARTH,CELL PRESS,2590-3330,2590-3322,ENVIRONMENTAL STUDIES,SSCI,5889,15.1,Q1,1.92,82.43%
Environmental Chemistry Letters,ENVIRON CHEM LETT,SPRINGER HEIDELBERG,1610-3653,1610-3661,ENVIRONMENTAL SCIENCES,SCIE,16524,15,Q1,1.18,17.75%
Nature Communications,NAT COMMUN,NATURE PORTFOLIO,N/A,2041-1723,MULTIDISCIPLINARY SCIENCES,SCIE,738284,14.7,Q1,3.28,99.70%
Autophagy,AUTOPHAGY,TAYLOR & FRANCIS INC,1554-8627,1554-8635,CELL BIOLOGY,SCIE,29553,14.6,Q1,1.53,39.73%
Molecular Cell,MOL CELL,CELL PRESS,1097-2765,1097-4164,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,80732,14.5,Q1,2.66,83.13%
Molecular Cell,MOL CELL,CELL PRESS,1097-2765,1097-4164,CELL BIOLOGY,SCIE,80732,14.5,Q1,2.66,83.13%
Annual Review of Marine Science,ANNU REV MAR SCI,ANNUAL REVIEWS,1941-1405,1941-0611,MARINE & FRESHWATER BIOLOGY,SCIE,6230,14.3,Q1,2.5,44.26%
Annual Review of Marine Science,ANNU REV MAR SCI,ANNUAL REVIEWS,1941-1405,1941-0611,OCEANOGRAPHY,SCIE,6230,14.3,Q1,2.5,44.26%
Advanced Science,ADV SCI,WILEY,N/A,2198-3844,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,79296,14.3,Q1,2.07,75.32%
Accounts of Materials Research,ACCOUNTS MATER RES,AMER CHEMICAL SOC,N/A,2643-6728,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,3420,14,Q1,2.48,5.23%
Environmental Science and Ecotechnology,ENVIRON SCI ECOTECH,ELSEVIER,2666-4984,2666-4984,ENVIRONMENTAL SCIENCES,SCIE,1837,14,Q1,2.09,98.16%
PROGRESS IN LIPID RESEARCH,PROG LIPID RES,PERGAMON-ELSEVIER SCIENCE LTD,0163-7827,1873-2194,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,7497,14,Q1,1.66,45.36%
TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,CELL PRESS,0966-842X,1878-4380,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,18267,14,Q1,1.53,36.25%
Nature Ecology & Evolution,NAT ECOL EVOL,NATURE PORTFOLIO,2397-334X,2397-334X,ECOLOGY,SCIE,18917,13.9,Q1,3.85,25.73%
Nature Ecology & Evolution,NAT ECOL EVOL,NATURE PORTFOLIO,2397-334X,2397-334X,EVOLUTIONARY BIOLOGY,SCIE,18917,13.9,Q1,3.85,25.73%
Small Structures,SMALL STRUCT,WILEY,N/A,2688-4062,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,5122,13.9,Q1,1.41,56.19%
Aggregate,AGGREGATE,WILEY,N/A,2692-4560,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,3131,13.9,Q1,1.38,91.38%
CELL DEATH AND DIFFERENTIATION,CELL DEATH DIFFER,SPRINGERNATURE,1350-9047,1476-5403,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,30898,13.7,Q1,1.97,49.80%
CELL DEATH AND DIFFERENTIATION,CELL DEATH DIFFER,SPRINGERNATURE,1350-9047,1476-5403,CELL BIOLOGY,SCIE,30898,13.7,Q1,1.97,49.80%
Physics of Life Reviews,PHYS LIFE REV,ELSEVIER,1571-0645,1873-1457,BIOLOGY,SCIE,2213,13.7,Q1,1.97,39.13%
Protein & Cell,PROTEIN CELL,OXFORD UNIV PRESS,1674-800X,1674-8018,CELL BIOLOGY,SCIE,7515,13.6,Q1,1.47,92.73%
Nano Convergence,NANO CONVERG,SPRINGER,2196-5404,2196-5404,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,2915,13.4,Q1,1.2,100.00%
Nano Today,NANO TODAY,ELSEVIER SCI LTD,1748-0132,1878-044X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,17293,13.2,Q1,1.85,10.06%
Biochar,BIOCHAR,SPRINGER SINGAPORE PTE LTD,2524-7972,2524-7867,ENVIRONMENTAL SCIENCES,SCIE,2944,13.1,Q1,2.36,84.65%
DRUGS,DRUGS,ADIS INT LTD,0012-6667,1179-1950,TOXICOLOGY,SCIE,19942,13,Q1,2.99,29.44%
Cell Discovery,CELL DISCOV,SPRINGERNATURE,N/A,2056-5968,CELL BIOLOGY,SCIE,5607,13,Q1,1.93,99.60%
Small,SMALL,WILEY-V C H VERLAG GMBH,1613-6810,1613-6829,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,124288,13,Q1,1.89,12.60%
Energy & Environmental Materials,ENERGY ENVIRON MATER,WILEY,N/A,2575-0356,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,6740,13,Q1,1.86,38.34%
TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,CELL PRESS,0962-8924,1879-3088,CELL BIOLOGY,SCIE,19027,13,Q1,1.47,37.16%
Nature Chemical Biology,NAT CHEM BIOL,NATURE PORTFOLIO,1552-4450,1552-4469,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,30026,12.9,Q1,2.78,18.88%
TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,CELL PRESS,1471-4914,1471-499X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,13325,12.8,Q1,1.43,33.03%
TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,CELL PRESS,1471-4914,1471-499X,CELL BIOLOGY,SCIE,13325,12.8,Q1,1.43,33.03%
Nano Materials Science,NANO MATER SCI,KEAI PUBLISHING LTD,2096-6482,2589-9651,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,1878,12.6,Q1,1.52,98.08%
NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,NATURE PORTFOLIO,1545-9993,1545-9985,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,27951,12.5,Q1,2.87,33.25%
NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,NATURE PORTFOLIO,1545-9993,1545-9985,CELL BIOLOGY,SCIE,27951,12.5,Q1,2.87,33.25%
Business Strategy and the Environment,BUS STRATEG ENVIRON,WILEY,0964-4733,1099-0836,ENVIRONMENTAL STUDIES,SSCI,22882,12.5,Q1,2.68,40.00%
AGEING RESEARCH REVIEWS,AGEING RES REV,ELSEVIER IRELAND LTD,1568-1637,1872-9649,CELL BIOLOGY,SCIE,17158,12.5,Q1,1.56,31.32%
Resources Environment and Sustainability,RESOUR ENVIRON SUST,ELSEVIER,2666-9161,2666-9161,ENVIRONMENTAL SCIENCES,ESCI,919,12.4,Q1,1.71,94.29%
Resources Environment and Sustainability,RESOUR ENVIRON SUST,ELSEVIER,2666-9161,2666-9161,ENVIRONMENTAL STUDIES,ESCI,919,12.4,Q1,1.71,94.29%
npj Flexible Electronics,NPJ FLEX ELECTRON,NATURE PORTFOLIO,N/A,2397-4621,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,3116,12.3,Q1,2.38,99.46%
JOURNAL OF HAZARDOUS MATERIALS,J HAZARD MATER,ELSEVIER,0304-3894,1873-3336,ENVIRONMENTAL SCIENCES,SCIE,210090,12.2,Q1,1.85,9.02%
Materials Horizons,MATER HORIZ,ROYAL SOC CHEMISTRY,2051-6347,2051-6355,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,19038,12.2,Q1,1.78,13.78%
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURR OPIN SOLID ST M,PERGAMON-ELSEVIER SCIENCE LTD,1359-0286,1879-0348,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,5275,12.2,Q1,0.97,40.43%
Annual Review of Biochemistry,ANNU REV BIOCHEM,ANNUAL REVIEWS,0066-4154,1545-4509,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,21005,12.1,Q1,1.71,29.49%
